iso_code,continent,location,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
RWA,Africa,Rwanda,13461888,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.617,,69.02,0.543
SHN,Africa,Saint Helena,5404,,,,,,,,,,,80.56,
KNA,North America,Saint Kitts and Nevis,47606,212.865,,,,24654.385,,,12.84,,2.3,76.23,0.779
LCA,North America,Saint Lucia,179652,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,87.202,1.3,76.2,0.759
SPM,North America,Saint Pierre and Miquelon,5883,,,,,,,,,,,81.07,
VCT,North America,Saint Vincent and the Grenadines,104332,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,2.6,72.53,0.738
WSM,Oceania,Samoa,218764,69.413,22,5.606,3.564,6021.557,,348.977,9.21,,,73.32,0.715
SMR,Europe,San Marino,33746,556.667,,,,56861.47,,,5.64,,3.8,84.97,
STP,Africa,Sao Tome and Principe,223107,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,41.34,2.9,70.39,0.625
SAU,Asia,Saudi Arabia,35950396,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,,2.7,75.13,0.854
SEN,Africa,Senegal,16876720,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,20.859,,67.94,0.512
SRB,Europe,Serbia,6871547,80.291,41.2,17.366,,14048.881,,439.415,10.08,97.719,5.609,76,0.806
SYC,Africa,Seychelles,106470,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,,3.6,73.4,0.796
SLE,Africa,Sierra Leone,8420641,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,19.275,,54.7,0.452
SGP,Asia,Singapore,5453600,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,,2.4,83.62,0.938
SXM,North America,Sint Maarten (Dutch part),44042,1209.088,,,,36327.232,,,,,,78.95,
SVK,Europe,Slovakia,5447622,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,,5.82,77.54,0.86
SVN,Europe,Slovenia,2119410,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,,4.5,81.32,0.917
SLB,Oceania,Solomon Islands,707851,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,35.89,1.4,73,0.567
SOM,Africa,Somalia,17065581,23.5,16.8,2.731,1.496,,,365.769,6.05,9.831,0.9,57.4,
ZAF,Africa,South Africa,59392255,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,43.993,2.32,64.13,0.709
OWID_SAM,,South America,433956670,,,,,,,,,,,,
KOR,Asia,South Korea,51830139,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,,12.27,83.03,0.916
